16
13:1,2 0.001 0 1 2,2 0.001 -1 1 2,3 0.001 -1 0 0.0021 65 3,13 0.001 0 -1 1,14 0.001 -1 -1 2,13 0.001 -1 -1 0.0031 60 14,2 0.001 -1 0 13,3 0.001 -1 1 14,1 0.001 1 1 0.0043 90 14,13 0.001 -1 -1 15,15 0.001 -1 -1 15,14 0.001 0 1 0.004 50 ::f,0,3 f,0,14 s,3,12 f,12,0 f,12,13 s,13,2 
14:1,2 0.001 0 1 2,2 0.001 -1 0 1,3 0.001 -1 0 0.0031 65 3,13 0.001 1 -1 1,14 0.001 -1 0 2,13 0.001 -1 -1 0.0031 60 14,2 0.001 -1 0 13,3 0.001 -1 0 14,1 0.001 1 0 0.0043 90 14,13 0.001 -1 0 15,15 0.001 -1 -1 15,14 0.001 1 1 0.004 50 ::f,0,3 f,0,14 s,3,12 f,12,0 f,12,13 s,13,2 
15:1,2 0.001 -1 1 2,2 0.001 -1 0 1,3 0.001 -1 0 0.0032 80 3,13 0.001 1 -1 1,14 0.001 -1 0 2,13 0.001 0 -1 1.0032 75 14,2 0.001 -1 -1 13,3 0.001 -1 0 14,1 0.001 1 0 0.0043 90 13,13 0.001 -1 0 14,14 0.001 -1 -1 15,14 0.001 1 1 0.006 50 ::f,2,3 s,3,12 f,3,15 f,12,0 f,12,13 s,13,2 
16:1,2 0.001 -1 1 2,2 0.001 -1 0 1,3 0.001 -1 1 0.0032 80 3,13 0.001 1 0 1,14 0.001 -1 1 2,13 0.001 0 -1 1.0032 75 13,1 0.001 -1 -1 13,3 0.001 -1 -1 14,1 0.001 1 -1 0.0053 90 13,13 0.001 -1 0 14,14 0.001 -1 -1 15,14 0.001 1 0 0.0061 65 ::f,2,3 s,3,12 f,3,15 f,12,0 s,13,2 f,13,15 
17:1,2 0.001 -1 0 2,2 0.001 -1 -1 1,3 0.001 -1 1 0.0032 80 3,13 0.001 1 0 1,14 0.001 -1 1 2,13 0.001 1 -1 1.0032 75 13,1 0.001 -1 -1 13,3 0.001 -1 -1 14,1 0.001 1 -1 0.0054 105 13,13 0.001 -1 1 14,14 0.001 -1 0 15,14 0.001 1 0 0.0061 65 ::f,2,3 s,3,12 f,3,15 s,13,2 f,13,15 f,15,1 
18:1,2 0.001 -1 0 2,2 0.001 -1 -1 1,3 0.001 0 1 0.0032 80 3,13 0.001 1 1 1,14 0.001 0 1 2,13 0.001 1 -1 1.0032 75 13,1 0.001 0 -1 13,3 0.001 0 -1 14,1 0.001 0 -1 0.0054 105 13,13 0.001 -1 1 14,14 0.001 -1 0 15,14 0.001 1 -1 0.0061 65 ::f,2,3 s,3,12 f,3,15 s,13,2 f,13,15 f,15,1 
19:1,2 0.001 -1 -1 2,2 0.001 0 -1 1,3 0.001 0 1 0.0032 80 3,13 0.001 1 1 1,14 0.001 0 1 2,13 0.001 1 0 1.0032 75 13,1 0.001 0 -1 13,3 0.001 0 -1 14,1 0.001 0 -1 0.0054 105 13,13 0.001 0 1 14,14 0.001 -1 1 15,14 0.001 1 -1 0.0061 65 ::f,2,3 s,3,12 f,3,15 s,13,2 f,13,15 f,15,1 
20:1,2 0.001 -1 -1 2,2 0.001 0 -1 1,3 0.001 1 1 0.0032 80 3,13 0.001 0 1 1,14 0.001 1 1 2,13 0.001 1 0 1.0032 75 13,1 0.001 1 -1 13,3 0.001 0 -1 14,1 0.001 -1 -1 0.0054 105 13,14 0.001 0 1 14,14 0.001 -1 1 15,14 0.001 0 -1 0.0072 80 ::f,2,3 s,3,12 f,3,15 s,13,2 f,15,1 f,15,12 
21:1,2 0.001 0 -1 2,2 0.001 1 -1 1,3 0.001 1 1 0.0032 80 3,14 0.001 0 1 1,14 0.001 1 1 2,13 0.001 1 1 1.0042 75 13,1 0.001 1 -1 13,3 0.001 1 -1 14,1 0.001 -1 -1 0.0054 105 13,14 0.001 0 1 14,14 0.001 0 1 15,13 0.001 0 -1 0.0082 80 ::f,2,3 s,3,12 f,3,15 s,13,2 f,15,1 f,15,12 
22:1,1 0.001 0 -1 2,2 0.001 1 -1 1,3 0.001 1 0 0.0042 80 3,14 0.001 0 1 1,14 0.001 1 0 2,13 0.001 1 1 1.0043 90 13,1 0.001 1 0 13,3 0.001 1 -1 14,1 0.001 -1 0 0.0054 105 13,14 0.001 1 1 14,14 0.001 0 1 15,13 0.001 0 -1 0.0083 95 ::f,2,3 s,3,12 f,3,15 s,13,2 f,13,12 f,15,1 
23:1,1 0.001 0 -1 2,2 0.001 1 0 1,3 0.001 1 0 0.0042 80 3,14 0.001 -1 1 2,14 0.001 1 0 2,13 0.001 0 1 1.0053 90 13,1 0.001 1 0 13,3 0.001 1 0 14,1 0.001 -1 0 0.0054 105 13,14 0.001 1 1 14,14 0.001 1 1 15,13 0.001 -1 -1 0.0083 95 ::f,2,3 s,3,12 f,3,15 s,13,2 f,13,12 f,15,1 
24:1,1 0.001 1 -1 2,2 0.001 1 0 1,3 0.001 1 0 1.0043 95 3,14 0.001 -1 1 2,14 0.001 1 0 2,13 0.001 0 1 1.0053 90 13,1 0.001 1 0 13,3 0.001 1 0 14,1 0.001 -1 0 0.0054 105 13,14 0.001 1 0 14,14 0.001 1 1 15,13 0.001 -1 -1 0.0083 95 ::f,1,0 s,3,12 f,3,15 s,13,2 f,13,12 f,15,1 
25:1,1 0.001 1 -1 2,2 0.001 1 1 1,3 0.001 1 -1 1.0043 95 3,14 0.001 -1 0 2,14 0.001 1 -1 2,13 0.001 0 1 1.0053 90 13,1 0.001 1 1 13,3 0.001 1 1 14,1 0.001 -1 1 0.0054 105 13,14 0.001 1 0 14,14 0.001 1 0 15,13 0.001 -1 0 0.0083 95 ::f,1,0 s,3,12 f,3,15 s,13,2 f,13,12 f,15,1 
26:1,1 0.001 1 0 2,2 0.001 1 1 1,3 0.001 1 -1 1.0043 95 3,14 0.001 -1 0 2,14 0.001 1 -1 2,13 0.001 -1 1 1.0053 90 13,1 0.001 1 1 13,3 0.001 1 1 14,1 0.001 -1 1 0.0054 105 13,14 0.001 1 0 14,14 0.001 1 0 14,13 0.001 -1 0 0.0093 95 ::f,1,0 s,3,12 f,3,15 s,13,2 f,13,12 f,15,1 
27:2,1 0.001 1 0 2,2 0.001 0 1 1,3 0.001 0 -1 1.0053 95 3,14 0.001 -1 0 2,14 0.001 0 -1 2,13 0.001 -1 1 1.0053 90 13,1 0.001 0 1 13,3 0.001 0 1 14,1 0.001 0 1 0.0054 105 13,14 0.001 1 -1 14,14 0.001 1 -1 14,13 0.001 -1 0 0.0093 95 ::f,1,0 s,3,12 f,3,15 s,13,2 f,13,12 f,15,1 
28:2,1 0.001 1 0 2,2 0.001 0 1 1,3 0.001 0 -1 1.0053 95 3,14 0.001 -1 -1 2,14 0.001 0 -1 2,13 0.001 -1 0 1.0053 90 13,1 0.001 0 1 13,3 0.001 0 1 14,1 0.001 0 1 0.0054 105 13,14 0.001 1 -1 14,14 0.001 1 -1 14,13 0.001 -1 1 0.0093 95 ::f,1,0 s,3,12 f,3,15 s,13,2 f,13,12 f,15,1 
29:2,1 0.001 1 1 2,2 0.001 -1 1 1,3 0.001 -1 -1 1.0053 95 3,14 0.001 -1 -1 2,14 0.001 0 -1 2,13 0.001 -1 0 1.0053 90 13,1 0.001 0 1 13,3 0.001 -1 1 14,1 0.001 1 1 0.0054 105 13,14 0.001 0 -1 14,14 0.001 0 -1 14,13 0.001 -1 1 0.0093 95 ::f,1,0 s,3,12 f,3,15 s,13,2 f,13,12 f,15,1 
30:2,1 0.001 1 1 2,2 0.001 -1 1 1,3 0.001 -1 -1 1.0053 95 3,14 0.001 0 -1 2,14 0.001 -1 -1 2,13 0.001 -1 -1 1.0053 90 13,1 0.001 -1 1 13,3 0.001 -1 1 14,1 0.001 1 1 0.0054 105 13,13 0.001 0 -1 14,14 0.001 0 -1 14,13 0.001 0 1 0.0103 95 ::f,1,0 s,3,12 f,3,15 s,13,2 f,13,12 f,15,1 
31:2,1 0.001 0 1 2,2 0.001 -1 0 1,3 0.001 -1 0 1.0053 95 3,13 0.001 0 -1 2,14 0.001 -1 -1 2,13 0.001 -1 -1 1.0063 90 13,1 0.001 -1 1 13,3 0.001 -1 0 14,1 0.001 1 0 0.0054 105 13,13 0.001 0 -1 14,14 0.001 0 -1 14,13 0.001 0 1 1.0104 110 ::f,1,0 s,3,12 f,3,15 s,13,2 f,15,1 f,15,12 
32:2,1 0.001 0 1 1,2 0.001 -1 0 1,3 0.001 -1 0 1.0063 95 3,13 0.001 0 -1 2,14 0.001 -1 0 2,13 0.001 0 -1 1.0063 90 13,1 0.001 -1 0 13,3 0.001 -1 0 14,1 0.001 1 0 1.0055 120 13,13 0.001 -1 -1 14,14 0.001 -1 -1 14,13 0.001 1 1 1.0104 110 ::f,1,0 s,3,12 f,3,15 s,13,2 f,14,0 f,15,12 
33:2,1 0.001 0 1 1,2 0.001 -1 0 1,3 0.001 -1 1 1.0063 95 3,13 0.001 1 -1 2,14 0.001 -1 0 2,13 0.001 0 -1 1.0063 90 13,1 0.001 -1 0 13,3 0.001 -1 -1 14,1 0.001 1 -1 1.0055 120 13,13 0.001 -1 -1 14,14 0.001 -1 -1 14,13 0.001 1 1 1.0104 110 ::f,1,0 s,3,12 f,3,15 s,13,2 f,14,0 f,15,12 
34:2,1 0.001 -1 1 1,2 0.001 -1 -1 1,3 0.001 -1 1 1.0063 95 3,13 0.001 1 -1 2,14 0.001 -1 1 2,13 0.001 1 -1 1.0063 90 13,1 0.001 -1 -1 13,3 0.001 -1 -1 14,1 0.001 1 -1 1.0055 120 13,13 0.001 -1 0 14,14 0.001 -1 0 14,13 0.001 1 0 1.0104 110 ::f,1,0 s,3,12 f,3,15 s,13,2 f,14,0 f,15,12 
35:2,1 0.001 -1 1 1,2 0.001 -1 -1 1,3 0.001 0 1 1.0063 95 3,13 0.001 1 0 2,14 0.001 -1 1 2,13 0.001 1 -1 1.0063 90 13,1 0.001 -1 -1 13,3 0.001 0 -1 14,1 0.001 0 -1 1.0055 120 13,13 0.001 -1 0 14,14 0.001 -1 0 14,13 0.001 1 0 1.0104 110 ::f,1,0 s,3,12 f,3,15 s,13,2 f,14,0 f,15,12 
