16
21:2,1 0.001 1 -1 1,2 0.001 1 0 1,1 0.001 -1 0 0.008 50 2,12 0.001 1 -1 2,13 0.001 0 1 0,13 0.001 -1 0 0.0061 65 13,2 0.001 -1 -1 13,1 0.001 -1 -1 14,0 0.003 -1 -1 3.0093 95 14,14 0.001 1 0 13,14 0.003 1 1 13,13 0.001 -1 -1 4.0083 80 ::f,0,3 f,3,13 s,12,14 f,13,12 s,13,15 f,14,3 s,14,15 
22:2,1 0.001 1 0 1,2 0.001 1 1 1,1 0.001 -1 0 0.008 50 2,12 0.001 1 -1 2,14 0.001 0 1 0,13 0.001 -1 0 0.0071 65 13,2 0.001 0 -1 13,1 0.001 -1 -1 14,0 0.003 -1 -1 3.0093 95 14,14 0.001 1 1 13,14 0.003 1 1 13,13 0.001 0 -1 4.0083 80 ::f,0,3 f,3,13 s,12,14 f,13,12 s,13,15 f,14,3 s,14,15 
23:2,1 0.001 1 0 1,2 0.001 1 1 1,1 0.001 -1 -1 0.008 50 2,12 0.001 0 -1 2,14 0.001 0 1 0,13 0.001 -1 -1 0.0071 65 13,2 0.001 0 -1 13,1 0.001 0 -1 14,0 0.003 -1 -1 3.0093 95 14,14 0.001 1 1 13,14 0.003 1 1 13,13 0.001 0 -1 6.0084 95 ::f,0,3 f,3,13 s,12,14 s,13,15 f,14,3 s,14,15 f,15,12 
24:2,1 0.001 1 1 1,2 0.001 0 1 1,1 0.001 -1 -1 0.008 50 2,12 0.001 0 -1 2,14 0.001 -1 1 0,13 0.001 -1 -1 0.0071 65 13,2 0.001 0 -1 13,1 0.001 0 -1 14,0 0.003 -1 -1 3.0093 95 14,14 0.001 0 1 13,14 0.003 1 1 13,13 0.001 1 -1 6.0084 95 ::f,0,3 f,3,13 s,12,14 s,13,15 f,14,3 s,14,15 f,15,12 
25:2,1 0.001 1 1 1,2 0.001 0 1 1,1 0.001 0 -1 0.008 50 2,12 0.001 -1 -1 2,14 0.001 -1 1 0,13 0.001 0 -1 0.0071 65 13,2 0.001 1 -1 13,1 0.001 1 -1 14,0 0.003 -1 -1 3.0093 95 14,14 0.001 0 1 13,14 0.003 1 1 13,13 0.001 1 -1 6.0084 95 ::f,0,3 f,3,13 s,12,14 s,13,15 f,14,3 s,14,15 f,15,12 
26:2,1 0.001 0 1 1,2 0.001 -1 1 1,1 0.001 0 -1 0.008 50 2,12 0.001 -1 -1 2,14 0.001 -1 0 0,13 0.001 0 -1 0.0071 65 13,2 0.001 1 -1 13,1 0.001 1 -1 14,0 0.003 -1 -1 3.0093 95 14,14 0.001 -1 1 13,14 0.003 1 1 13,13 0.001 1 0 6.0084 95 ::f,0,3 f,3,13 s,12,14 s,13,15 f,14,3 s,14,15 f,15,12 
27:2,2 0.001 0 1 1,2 0.001 -1 1 1,1 0.001 1 -1 0.0091 65 2,12 0.001 -1 0 1,14 0.001 -1 0 0,13 0.001 1 -1 0.0081 65 13,2 0.001 1 0 13,1 0.001 1 0 14,0 0.003 -1 -1 3.0093 95 14,14 0.001 -1 1 13,14 0.003 1 1 14,13 0.001 1 0 6.0094 95 ::f,2,1 f,3,13 s,12,14 s,13,15 f,14,3 s,14,15 f,15,12 
28:2,2 0.001 0 1 1,2 0.001 -1 0 1,1 0.001 1 -1 0.0091 65 1,12 0.001 -1 0 1,14 0.001 -1 0 0,13 0.001 1 -1 0.0091 65 13,2 0.001 1 0 14,1 0.001 1 0 14,0 0.003 -1 -1 3.0103 95 14,14 0.001 -1 0 13,14 0.003 1 1 14,13 0.001 1 0 6.0094 95 ::f,2,1 f,3,13 s,12,14 s,13,15 f,14,3 s,14,15 f,15,12 
29:2,2 0.001 -1 1 1,2 0.001 -1 0 1,1 0.001 1 0 0.0091 65 1,12 0.001 -1 0 1,14 0.001 -1 -1 0,13 0.001 1 0 0.0091 65 13,2 0.001 1 1 14,1 0.001 1 0 14,0 0.003 -1 -1 3.0103 95 14,14 0.001 -1 0 13,14 0.003 1 1 14,13 0.001 1 1 6.0094 95 ::f,2,1 f,3,13 s,12,14 s,13,15 f,14,3 s,14,15 f,15,12 
30:2,2 0.001 -1 1 1,2 0.001 -1 -1 1,1 0.001 1 0 0.0091 65 1,12 0.001 -1 1 1,14 0.001 -1 -1 1,13 0.001 1 0 0.0101 65 13,2 0.001 1 1 14,1 0.001 1 1 14,0 0.003 -1 -1 6.0104 110 14,14 0.001 -1 0 13,14 0.003 1 1 14,13 0.001 1 1 6.0094 95 ::f,2,1 f,3,13 f,12,1 s,12,14 s,13,15 s,14,15 f,15,12 
31:2,2 0.001 -1 0 1,2 0.001 -1 -1 1,1 0.001 1 0 0.0092 80 1,12 0.001 -1 1 1,14 0.001 0 -1 2,13 0.001 1 0 0.0111 65 13,2 0.001 0 1 14,1 0.001 1 1 14,0 0.003 -1 -1 6.0104 110 14,14 0.001 -1 -1 13,14 0.003 1 1 14,13 0.001 0 1 6.0094 95 ::f,0,1 f,3,13 f,12,1 s,12,14 s,13,15 s,14,15 f,15,12 
32:2,2 0.001 -1 0 1,2 0.001 0 -1 1,1 0.001 1 1 0.0092 80 1,12 0.001 0 1 1,13 0.001 0 -1 2,13 0.001 1 0 0.0122 80 13,2 0.001 0 1 14,1 0.001 0 1 14,0 0.003 -1 -1 6.0104 110 14,14 0.001 -1 -1 13,14 0.003 1 1 14,13 0.001 0 1 6.0094 95 ::f,0,1 f,3,14 f,12,1 s,12,14 s,13,15 s,14,15 f,15,12 
33:2,2 0.001 -1 0 1,2 0.001 0 -1 1,1 0.001 1 1 0.0092 80 1,12 0.001 0 1 1,13 0.001 0 -1 2,13 0.001 1 1 0.0122 80 13,2 0.001 -1 1 14,2 0.001 0 1 14,0 0.003 -1 -1 6.0114 110 14,14 0.001 0 -1 13,14 0.003 1 1 14,13 0.001 0 1 6.0094 95 ::f,0,1 f,3,14 f,12,1 s,12,14 s,13,15 s,14,15 f,15,12 
34:2,2 0.001 -1 -1 1,2 0.001 0 -1 1,1 0.001 0 1 0.0092 80 1,12 0.001 0 1 1,13 0.001 1 -1 2,13 0.001 1 1 1.0123 95 13,2 0.001 -1 1 14,2 0.001 0 1 14,0 0.003 -1 -1 6.0114 110 14,14 0.001 0 -1 13,14 0.003 1 1 14,13 0.001 -1 1 6.0094 95 ::f,0,1 f,3,13 f,12,1 s,12,14 s,13,15 s,14,15 f,15,12 
35:2,2 0.001 -1 -1 1,2 0.001 1 -1 1,1 0.001 0 1 0.0092 80 1,12 0.001 1 1 1,13 0.001 1 -1 2,13 0.001 0 1 1.0123 95 13,2 0.001 -1 0 14,2 0.001 -1 1 14,0 0.003 -1 -1 6.0114 110 14,14 0.001 1 -1 13,14 0.003 1 1 14,13 0.001 -1 1 6.0094 95 ::f,0,1 f,3,13 f,12,1 s,12,14 s,13,15 s,14,15 f,15,12 
36:2,2 0.001 0 -1 1,2 0.001 1 -1 1,1 0.001 -1 1 0.0092 80 1,12 0.001 1 1 1,13 0.001 1 0 2,14 0.001 0 1 1.0133 95 13,2 0.001 -1 0 14,2 0.001 -1 1 14,0 0.003 -1 -1 6.0114 110 14,14 0.001 1 -1 13,14 0.003 1 1 14,13 0.001 -1 0 6.0094 95 ::f,0,1 f,3,13 f,12,1 s,12,14 s,13,15 s,14,15 f,15,12 
37:2,2 0.001 0 -1 1,2 0.001 1 0 1,1 0.001 -1 1 0.0092 80 1,12 0.001 1 0 2,13 0.001 1 0 2,14 0.001 0 1 1.0143 95 13,2 0.001 -1 -1 14,2 0.001 -1 0 14,0 0.003 -1 -1 6.0114 110 14,14 0.001 1 0 13,14 0.003 1 1 14,13 0.001 -1 0 6.0094 95 ::f,0,1 f,3,13 f,12,1 s,12,14 s,13,15 s,14,15 f,15,12 
38:2,2 0.001 1 -1 1,2 0.001 1 0 1,1 0.001 -1 0 0.0092 80 1,12 0.001 1 0 2,13 0.001 1 0 2,14 0.001 -1 1 2.0144 110 13,2 0.001 -1 -1 14,2 0.001 -1 0 14,0 0.003 -1 -1 10.0115 125 14,14 0.001 1 0 13,14 0.003 1 1 14,13 0.001 -1 -1 6.0094 95 ::f,0,1 f,2,15 s,12,14 s,13,15 s,14,15 f,15,2 f,15,12 
39:2,2 0.001 1 -1 1,2 0.001 1 1 1,1 0.001 -1 0 1.0093 95 1,12 0.001 1 -1 2,13 0.001 1 1 2,14 0.001 -1 1 2.0144 110 13,2 0.001 0 -1 14,2 0.001 -1 0 14,0 0.003 -1 -1 10.0115 125 14,14 0.001 1 1 13,14 0.003 1 1 14,13 0.001 -1 -1 6.0094 95 ::f,1,3 f,2,15 s,12,14 s,13,15 s,14,15 f,15,2 f,15,12 
40:2,2 0.001 1 0 1,2 0.001 1 1 1,1 0.001 -1 -1 1.0093 95 1,12 0.001 1 -1 2,13 0.001 1 1 2,14 0.001 -1 0 2.0144 110 13,1 0.001 0 -1 14,2 0.001 -1 -1 14,0 0.003 -1 -1 10.0125 125 14,14 0.001 1 1 13,14 0.003 1 1 14,13 0.001 0 -1 6.0094 95 ::f,1,3 f,2,15 s,12,14 s,13,15 s,14,15 f,15,2 f,15,12 
41:2,2 0.001 1 0 1,2 0.001 0 1 1,1 0.001 -1 -1 1.0093 95 1,12 0.001 0 -1 2,13 0.001 0 1 1,14 0.001 -1 0 2.0154 110 13,1 0.001 0 -1 14,2 0.001 -1 -1 14,0 0.003 -1 -1 10.0125 125 14,14 0.001 0 1 13,14 0.003 1 1 14,13 0.001 0 -1 6.0094 95 ::f,1,3 f,2,15 s,12,14 s,13,15 s,14,15 f,15,2 f,15,12 
