update,timeToCoalescence,ID,accuracy_AVE,accuracy_LIST,alive,cooperation_AVE,cooperation_LIST,genomeLength,optimizeValue,sGained_AVE,sGained_LIST,sLost_AVE,sLost_LIST,score_AVE,score_LIST,teamActivity_AVE,teamActivity_LIST,timeOfBirth,totalBuilt_AVE,totalBuilt_LIST,totalFF_AVE,totalFF_LIST,totalGotHit_AVE,totalGotHit_LIST,totalHarvest_AVE,totalHarvest_LIST,totalShots_AVE,totalShots_LIST,totalStructFF_AVE,totalStructFF_LIST,totalStructGotHit_AVE,totalStructGotHit_LIST,totalStructHit_AVE,totalStructHit_LIST,totalSuccessfulShots_AVE,totalSuccessfulShots_LIST,totalSwitch_AVE,totalSwitch_LIST
3100,0,1004791,18.181818,"[18.181818]",1,4.000000,"[4.000000]",15395,1.338920,6.164000,"[6.164000]",34.125400,"[34.125400]",1.338920,"[1.338920]",21.000000,"[21.000000]",3100,1.000000,"[1]",5.000000,"[5]",6.000000,"[6]",0.000000,"[0]",11.000000,"[11]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]",10.000000,"[10]"
3200,0,1037211,0.000000,"[0.000000]",1,7.000000,"[7.000000]",14032,42.176120,40.014000,"[40.014000]",6.689400,"[6.689400]",42.176120,"[42.176120]",11.000000,"[11.000000]",3200,6.000000,"[6]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",5.000000,"[5]",1.000000,"[1]",5.000000,"[5]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
3300,0,1069581,100.000000,"[100.000000]",1,0.000000,"[0.000000]",14379,18.431500,36.014000,"[36.014000]",87.912500,"[87.912500]",18.431500,"[18.431500]",0.000000,"[0.000000]",3300,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",12.000000,"[12]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",12.000000,"[12]",43.000000,"[43]"
3400,0,1102025,50.000000,"[50.000000]",1,0.000000,"[0.000000]",16465,16.428140,18.025000,"[18.025000]",7.984300,"[7.984300]",16.428140,"[16.428140]",8.000000,"[8.000000]",3400,0.000000,"[0]",0.000000,"[0]",1.000000,"[1]",0.000000,"[0]",12.000000,"[12]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",6.000000,"[6]",2.000000,"[2]"
3500,0,1134334,75.000000,"[75.000000]",1,0.000000,"[0.000000]",17967,22.870400,27.024000,"[27.024000]",20.768000,"[20.768000]",22.870400,"[22.870400]",14.000000,"[14.000000]",3500,0.000000,"[0]",0.000000,"[0]",5.000000,"[5]",0.000000,"[0]",12.000000,"[12]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",9.000000,"[9]",2.000000,"[2]"
3600,0,1166772,42.307692,"[42.307692]",1,8.000000,"[8.000000]",16069,26.576440,33.039600,"[33.039600]",52.315800,"[52.315800]",26.576440,"[26.576440]",21.000000,"[21.000000]",3600,0.000000,"[0]",6.000000,"[6]",17.000000,"[17]",6.000000,"[6]",26.000000,"[26]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",11.000000,"[11]",3.000000,"[3]"
3700,0,1199195,83.333333,"[83.333333]",1,0.000000,"[0.000000]",17901,26.877680,30.017000,"[30.017000]",15.696600,"[15.696600]",26.877680,"[26.877680]",22.000000,"[22.000000]",3700,0.000000,"[0]",2.000000,"[2]",4.000000,"[4]",0.000000,"[0]",12.000000,"[12]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",10.000000,"[10]",2.000000,"[2]"
3800,0,1231549,75.000000,"[75.000000]",1,0.000000,"[0.000000]",17886,25.727960,27.023000,"[27.023000]",6.475200,"[6.475200]",25.727960,"[25.727960]",4.000000,"[4.000000]",3800,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",12.000000,"[12]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",9.000000,"[9]",2.000000,"[2]"
3900,0,1263974,0.000000,"[0.000000]",1,0.000000,"[0.000000]",18362,0.051000,0.051000,"[0.051000]",0.000000,"[0.000000]",0.051000,"[0.051000]",0.000000,"[0.000000]",3900,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]"
4000,0,1296407,65.000000,"[65.000000]",1,3.000000,"[3.000000]",17573,37.511600,39.003200,"[39.003200]",14.958000,"[14.958000]",37.511600,"[37.511600]",18.000000,"[18.000000]",4000,0.000000,"[0]",2.000000,"[2]",2.000000,"[2]",2.000000,"[2]",20.000000,"[20]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",13.000000,"[13]",4.000000,"[4]"
